datetime,KQ.m@SHFE.rb.last_price,KQ.m@SHFE.rb.highest,KQ.m@SHFE.rb.lowest,KQ.m@SHFE.rb.bid_price1,KQ.m@SHFE.rb.bid_volume1,KQ.m@SHFE.rb.ask_price1,KQ.m@SHFE.rb.ask_volume1,KQ.m@SHFE.rb.volume,KQ.m@SHFE.rb.amount,KQ.m@SHFE.rb.open_interest
2020-03-11 09:00:00.569001000,3495.0,3497.0,3495.0,3496.0,67,3497.0,377,3925,137218770.0,1412971
2020-03-11 09:00:01.069000000,3498.0,3498.0,3494.0,3497.0,752,3498.0,27,7729,270219930.0,1412654
2020-03-11 09:00:01.570000000,3498.0,3500.0,3494.0,3498.0,167,3500.0,412,10725,375045180.0,1412813
2020-03-11 09:00:02.069000000,3501.0,3508.0,3494.0,3501.0,94,3502.0,5,15557,544327200.0,1414680
2020-03-11 09:00:02.569000000,3504.0,3509.0,3494.0,3504.0,119,3506.0,90,17983,629361480.0,1414706
2020-03-11 09:00:03.070000000,3506.0,3509.0,3494.0,3506.0,310,3507.0,37,19533,683708890.0,1414613
2020-03-11 09:00:03.565000000,3508.0,3510.0,3494.0,3508.0,39,3510.0,630,20704,724785740.0,1414662
2020-03-11 09:00:04.069000000,3509.0,3510.0,3494.0,3509.0,123,3510.0,137,22484,787244470.0,1414964
2020-03-11 09:00:04.562000000,3507.0,3511.0,3494.0,3508.0,6,3509.0,93,24188,847033280.0,1414704
2020-03-11 09:00:05.069000000,3509.0,3511.0,3494.0,3507.0,442,3509.0,442,25068,877902090.0,1414746
2020-03-11 09:00:05.571000000,3507.0,3511.0,3494.0,3507.0,164,3508.0,8,26438,925964260.0,1414883
2020-03-11 09:00:06.070000000,3511.0,3511.0,3494.0,3510.0,165,3511.0,180,27265,954983480.0,1415015
2020-03-11 09:00:06.570000000,3510.0,3511.0,3494.0,3509.0,142,3510.0,15,29925,1048342420.0,1414967
2020-03-11 09:00:07.071000000,3510.0,3511.0,3494.0,3508.0,235,3510.0,194,31051,1087858990.0,1415524
2020-03-11 09:00:07.570000000,3507.0,3511.0,3494.0,3507.0,49,3508.0,6,32062,1123330940.0,1415408
2020-03-11 09:00:08.067000000,3507.0,3511.0,3494.0,3507.0,8,3508.0,160,33037,1157528510.0,1415372
2020-03-11 09:00:08.568000000,3506.0,3511.0,3494.0,3505.0,33,3506.0,4,34163,1197005500.0,1415219
2020-03-11 09:00:09.065000000,3506.0,3511.0,3494.0,3506.0,4,3507.0,464,35230,1234413020.0,1415273
2020-03-11 09:00:09.566000000,3504.0,3511.0,3494.0,3503.0,248,3504.0,88,35833,1255549000.0,1415331
2020-03-11 09:00:10.067000000,3504.0,3511.0,3494.0,3503.0,20,3504.0,125,36195,1268230820.0,1415274
2020-03-11 09:00:10.571000000,3503.0,3511.0,3494.0,3502.0,850,3503.0,46,36587,1281963970.0,1415287
2020-03-11 09:00:11.071000000,3503.0,3511.0,3494.0,3502.0,781,3503.0,156,37373,1309502530.0,1414866
2020-03-11 09:00:11.569000000,3503.0,3511.0,3494.0,3502.0,461,3503.0,101,38674,1355077830.0,1414608
2020-03-11 09:00:12.065000000,3504.0,3511.0,3494.0,3503.0,13,3504.0,34,39361,1379139960.0,1414639
2020-03-11 09:00:12.568000000,3502.0,3511.0,3494.0,3501.0,321,3502.0,12,39874,1397108420.0,1414769
2020-03-11 09:00:13.070000000,3501.0,3511.0,3494.0,3501.0,154,3502.0,335,40558,1421061190.0,1414801
2020-03-11 09:00:13.570000000,3500.0,3511.0,3494.0,3500.0,1779,3502.0,359,40976,1435696500.0,1414866
2020-03-11 09:00:14.070000000,3501.0,3511.0,3494.0,3500.0,1816,3501.0,20,41518,1454676530.0,1415006
2020-03-11 09:00:14.567000000,3501.0,3511.0,3494.0,3501.0,646,3502.0,1,42137,1476357270.0,1415008
2020-03-11 09:00:15.069000000,3502.0,3511.0,3494.0,3502.0,93,3503.0,68,42643,1494076610.0,1415009
